ID,Is_Lead
VBENBARO,0.16919605035386148
CCMEWNKY,1.054778469512373
VK3KGA9M,0.18787421244281383
TT8RPZVC,0.12847831541085
SHQZEYTZ,0.12176798067086339
MZZAQMPT,0.24074526178780414
Y88TW36I,0.26829799839164875
3UGOAQNU,0.18988806734262298
VVUKMUJT,1.140600830205311
9R363ZXS,0.37861973163631585
BLISM6JE,0.18135255893680724
CH8S7JK7,0.48162318856151415
EAHDPXEJ,1.0480050679802082
BNUK9PRF,0.5693782657451728
GP2PG6FJ,0.2116739113626527
WNQCSN8A,0.1435286903003833
32DN4YVZ,0.7085390522475934
GXAMDANM,0.1841181849824246
MXETLUP4,0.2356024432260458
MPXK6TVE,1.0628493528362328
LBSIME2K,0.38614690590902295
D6ORJTM6,0.17067093922349777
HGDIBAKA,1.0338116903090826
UUZYL9DZ,0.7532229245536604
AUGE3VWK,0.21734288591172074
MX7GOX6Q,0.2659841014993476
TQN6K35W,0.18299645356603395
QQDRMQQN,0.7752596738263637
UP6GC6F4,0.14986293827932518
BMHBUVHB,0.8713803049243998
KGLDW86A,0.39258288756349147
FQEOMOP4,0.3204920024712944
DYWM5MEU,0.4280510593402242
DXHGXV8F,0.1661559963684883
AVFBFQKC,0.42863769376405925
DBIDKYMV,0.3451205445016506
KYZHMEBY,0.4813454141318465
SSFEBUGF,0.2056548100530254
MGJTAG8X,0.7487099455038339
MP6BERDO,0.39026684828076985
GXZ8ED68,0.19734617483114236
ICTFGWQR,0.7965409630570965
EAYHTRKH,0.1292433184275766
6FN97QLQ,0.20146363880392382
3H5MZDDW,0.6361381497531996
2DXZZWSN,0.13768684115127677
MM4QIRE5,0.24096973496756818
HJWVYXUA,0.4679966716049195
RBRSJUP3,1.0268325762942014
YFRQKGXW,0.658068444615481
N3SADEBV,0.2556491714442788
G2A2YYXY,0.13958182542777153
XMGA3WT3,0.18504275781478663
KVZQPSGI,0.41436267514774733
UAKARBBG,0.1512485944691505
WYKKL85Z,0.5106006727756673
GHNYYGRR,0.3148010609538133
UBAJANWT,0.18076543695478314
LSARSF7U,0.10330778107436908
4CNSJVVR,0.46849655711599625
JRHJSWYO,0.5253497235169075
FHZ8SVVI,0.20831604241144136
JUIRE47M,1.0671080701917832
GDIVN2GL,0.18446570559191006
WMF3DYE3,1.0176904137300482
MAQEHEWK,0.3604744236106556
2W8DLKFU,0.18993591404594473
AKGRML6H,0.30771421278465666
B7WUUGCY,0.16482056591568178
TLJOYATM,0.7469981088767672
UH6ZDM3W,1.0450261058451915
7IP5SSRR,0.9553739481616097
PV85PMEB,0.770493499864461
FGDOY4NI,0.25099145104348924
7YYIXJQE,0.18380044348175667
BHW42XPW,0.17313577730877286
3PKEEAT4,0.5209294683766446
ACFPZ3LM,0.193589042076025
6GORGNYN,1.0147093495245805
AEPQTMJK,0.5276489692702013
S6FNZFKK,0.18122690371738726
JTYNEKRQ,0.8598398225814808
GPXDPHHC,0.19810857723752012
O8TMKNNB,0.16145283533858404
XSQVHKYG,0.18551054890957508
MJ3CZRAE,0.11706043451715067
3NSQEYBJ,0.6873451850678983
SXVBASGH,0.17575834783961997
5ZIGZYSS,0.17021057861115213
FQSHBCUT,0.5146191260337565
MU45XUBP,0.17621438758119
BVULDPBI,0.18859086521992308
82GRNPFG,1.039705089155862
KKBNELBF,0.14201645915130245
HXQGBDGY,0.19135083688664972
28HDZICG,0.8423495678440069
GHBPKPJC,0.15482031725418557
FDWZFSSC,1.0506585400494097
FWTIWZF3,0.19648862229953892
JYMHVPMY,0.15915916166975125
AHUDO2T6,1.052962626644721
ACDHABS3,0.5067965090595605
5NTYJJDV,0.24143565446260246
2M4VPY4V,0.2918252211914462
KAHP9XLF,0.21437011353586113
YRLEWZFQ,0.29931836026234654
JZWVLXHJ,0.4704123455797965
JZZSXUKT,0.5464583720389969
93RURE2J,1.0336457279491675
4RNB6FDV,0.49819688348000046
27E7HMMG,0.22559182556087792
2QEFQQWN,0.1889674312923964
DDTCD2XI,0.24528562341131938
VGVEYSEG,1.0330546798841873
WCXVE7RK,0.17312656953981492
RTN4R3UE,0.1516636837677261
K2PVS4RB,0.17261338850466001
Q36J686Z,0.2829900265557749
NWKHMEOF,0.37825189848229596
PVJYQQGT,0.5655989234153324
GPUMRNWC,0.19362547930885898
LXHCDSVH,0.37322076054375847
BNIUPSVK,0.21397645138439947
FW3QI3WW,0.22359815159916074
IEEUGXMY,1.0287001779042835
FVVXDLBO,0.20251263236856162
UC2JJB6Y,0.25277762526068304
3WPAHP52,0.7596313102008613
HDTCJJOE,0.7931714927065707
UCSB9GKK,0.20281154037876503
HANBFYTH,0.3223477577842961
FLUU2HNV,0.19246169146770148
64PIYWDJ,0.5360219654219703
9AHNH8ZX,1.0524555483517526
KLHUI2SE,0.17435913531234848
YRHYUJFW,1.0522328788989899
G5RWWH7F,0.3923775633518211
SCBT9BAX,0.10302937569630394
UGZGLVNB,0.507363181586415
2RRNUFBV,1.0583830986009313
B6O59TEY,0.7281793146031981
CYHRRYH6,0.15110654153455616
GGYZVHWU,0.24049954909153332
K6AM97RN,0.2297249019316907
ATM5JQYM,0.20780574976554578
7GYZSGWA,0.16364608534258246
DFWUDQCR,0.4003261776165706
E2Z98CR3,1.0403658265266549
GD9KTSLY,0.18232019319308795
2AMRA4OD,0.3085825711901545
CFHZ3ZE6,0.7624126230379055
BOMLVM5K,0.17337297217930642
OBBEGBSY,0.6665132133933345
FJEHOK8W,0.13619052540718685
3GMAEVPJ,0.2884083861979151
WAVDLUTH,0.22853388178644612
6EN8GZX6,0.30018877717921283
VXGA3GKB,0.4192388901582702
U4MZ3U8C,0.6939621973950219
GU4RDP8S,1.0652524116802473
N3TPNHCD,0.30781585735649614
JRRHWQC8,0.9077335777311065
NZ5GBHZK,0.13388717066761002
LCUC2LAJ,1.0269090631872262
DJDSU9D2,1.094945863067851
647K6DBR,0.16432761765077725
7NFXVESK,0.22791809731064988
EWUWF25N,0.18904171382578383
7QKYPLA8,0.19429245389588579
XQVXWBNO,0.2014193663971035
CNWH4MVA,0.1921993354931752
AFJUJFQD,0.24647460626870826
QKMFDX9H,0.4088084057781035
YYMB5QBY,0.24995843951594615
IRY3SEX7,0.48402596858904406
CUAUZJH8,0.44696816393109784
JYFUYQF5,0.5520331038748658
I4NYEDFE,0.7395889065385114
M3RSPRGQ,0.337425518115355
JIL3KWQN,0.32448080157238146
X4B5ZBWU,0.3634182226856496
AHYTHHSE,0.1964674119307126
E7EHQEQK,0.6572326900879286
FAMHAVN3,1.0573291060211751
CCGKCTR6,0.2095907587949708
6DTSELRV,0.21086886126899446
LU8X3G6O,0.5108096949742871
NPFDAUJY,0.17927141641891559
DR9PXCFU,0.11945129418189535
SHVZMWBV,0.19167445675889308
8TGXGZHX,0.4853277619841468
IKRSHJFW,0.413767307062879
TYKRZDCP,0.721451465105722
9IDA3L7P,0.2818360409844827
ASOWCMDB,0.19602371870268573
KZ5J2JGC,1.048583753639949
D5UCFKTV,0.18802496135736121
